tab 	sites																						
site	location	samples	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	blanket_demag_level_af	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description
44	Endion Sill	6B153	276	23		1	1	1	0	0.06		46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
46	Endion Sill	6B157:6B158	284.5	28		2	2	2	0	0.06	13	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
47	Endion Sill	6B159:6B160	285.5	41.5		2	2	2	0	0.06	16	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
50	Endion Sill	6B166:6B167:6B168	278.5	33.5	345.4	3	3	3	0	0.06	4.3	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
51	Endion Sill	6B169	281.5	19		1	1	1	0	0.06		46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
52	Endion Sill	6B171:6B172	275.5	25.5		2	2	2	0	0.06	3	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
53	Endion Sill	6B173:6B174	275.5	20.5		2	2	2	0	0.06	2	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
54	Endion Sill	6B175:6B176	301.5	21.5		2	2	2	0	0.06	3	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
55	Endion Sill	6B177:6B178:6B179:6B180	277.5	33	107.8	4	4	4	0	0.06	6.7	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
56	Endion Sill	6B181:6B182	278.5	37.5		2	2	2	0	0.06	8	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
57	Endion Sill	6B183:6B184	284	37		2	2	2	0	0.06	7	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
58	Endion Sill	6B185:6B186	277	34		2	2	2	0	0.06	6	46.8	-92.07	Intrusive:Igneous	Pluton	Sill	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Location inferred from M-119 Geologic map of the Duluth Complex and related rocks, northeastern Minnesota"
178	Felsic series	6B455	286	44		1	1	1	0	0.06		48.02	-90.4	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	"Coarse, leucocratic, pegmatitic gabbro with 10% disseminated granophyre"
199	Felsic series	6B504:6B505	121.5	-56		2	2	2	0	0.06	6.5	48.02	-90.23	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1105	Ma	10.1029/jb074i008p02002:Beck (1969)	"Medium grained, granophyre-bearing leucograbbro"
1	Layered series	6B040:6B041:6B042:6B043	279.5	47.5	51.3	4	4	4	0	0.06	9.8	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	Relatively fine-grain indistinctly layered gabbro from within 100' of base. Exposed in RR cut
3	Layered series	6B049:6B050:6B051:6B052	292	26.5	16.5	4	4	4	0	0.06	17.2	46.68	-92.24	Intrusive:Igneous	Pluton	Gabbro	LT-AF-Z:DE-BLANKET	g	i	1090	Ma	10.1029/jb074i008p02002:Beck (1969)	300' E of station 1. Lithology similar
